kind,old_code,new_code,source_name,target_name,source_unit,target_unit,manual_rule
Material,5908002,8065201,弹性吊索线夹 70A,弹性吊索线夹,套,件,1=使用best_candidate
Material,5300382,8049621,镀锌角钢桥钢柱、接腿、支架 (Q235),格构式桥钢柱/接腿/支架 Q235,t,t,1=使用best_candidate
Material,6000201,8065841,U型挂环 U-12,U形挂环 U-12,个,个,1=使用best_candidate
Material,6200251,1031429,聚丙烯塑料板 5×900×1450,聚丙烯塑料板 1450×900×5,块,块,1=使用best_candidate
Material,2532012,4018881,插销 P48K 5A,插销 50,个,套,L列指定电算代号
Material,2532013,4018881,插销 P40K 5A,插销 50,个,套,L列指定电算代号
Material,4735015,7012680,电力电缆0.6kV BVR-50m㎡,电力电缆0.6kV BVR-50mm2,m,m,1=使用best_candidate
Material,4732685,7012395,电力电缆 WDZ-YJY23 0.6/1kV  4×35+1×25mm2,低烟无卤阻燃电力电缆 WDZ-YJY23 0.6/1kV 4×50mm2+1×25mm2,m,m,1=使用best_candidate
Material,4732686,7012395,电力电缆 WDZ-YJY23 0.6/1kV  4×50+1×25mm2,低烟无卤阻燃电力电缆 WDZ-YJY23 0.6/1kV 4×50mm2+1×25mm2,m,m,1=使用best_candidate
Material,4732688,7012433,电力电缆 WDZ-YJY23 0.6/1kV  4×95+1×50mm2,低烟无卤阻燃电力电缆 WDZ-YJY23 0.6/1kV 4×95mm2+1×50mm2,m,m,1=使用best_candidate
Material,4732691,7012490,电力电缆 WDZ-YJY23 0.6/1kV  4×185+1×95mm2,低烟无卤阻燃电力电缆 WDZ-YJY23 0.6/1kV 4×185mm2+1×95mm2,m,m,1=使用best_candidate
Material,4732687,7012414,电力电缆 WDZ-YJY23 0.6/1kV  4×70+1×35mm2,低烟无卤阻燃电力电缆 WDZ-YJY23 0.6/1kV 4×70mm2+1×35mm2,m,m,1=使用best_candidate
Material,5300392,1012991,H型钢柱Q235(镀锌),H型钢 Q235-B,t,kg,1=使用best_candidate
Material,5300381,8050001,镀锌角钢钢柱、硬横梁 (Q235),钢管硬横梁 Q235,t,t,1=使用best_candidate
Material,5811050,8022753,高强铜镁合金绞线 1×19,高强铜镁合金绞线,kg,kg,1=使用best_candidate
Material,5322041,8051573,架构钢柱、横梁及支架等 Q345,架构钢柱/横梁及支架 Q355,t,t,1=使用best_candidate
Machine,9105304,9105324,单级离心清水泵 ≤25m3/h-20m,单级离心清水泵 ≤25m³/h-20m,台班,台班,1=使用best_candidate
Machine,9108631,9107633,鼓风机 ≤18m3/min,鼓风机 ≤18m³/min,台班,台班,1=使用best_candidate
Material,2368610,1310601,罐壁人孔 Pg25 DN600,罐壁人孔 DN600,个,个,1=使用best_candidate
Machine,9100803,9112303,轴流通风机 ≤28kW-390m3/min,轴流通风机 ≤28kW-390m³/min,台班,台班,1=使用best_candidate
Material,1600867,1156497,中碱无捻玻璃纤维布 0.5×900,中碱无捻玻璃纤维布 900×0.5,m2,m2,1=使用best_candidate
Material,4710019,7010438,铝芯橡皮线 BLX 500V 185mm2,铝芯塑料线 BLV 500V 185mm2,m,m,1=使用best_candidate
Material,2340907,1222481,制动软管联接器件,制动软管连接器件,个,个,1=使用best_candidate
Material,1240013,1086553,碎石 31.5以内,碎石 ≤31.5 (圬工用),m3,m3,L列指定电算代号
