kind,old_code,new_code,name,source_unit,target_unit
Material,6155002,8071576,圆钢地线架,套,件
Material,6111004,8070036,27.5kV所用电变压器台支架,套,件
Material,6111019,8070596,单支持绝缘子支架,套,件
Material,6111008,8070141,XW4端子箱支架,套,件
Material,6133003,8073011,35(60)kV绝缘子横担,套,件
Material,6000018,8076721,双设备线夹 SL1-TL-2×400,套,个
Material,6000039,8077281,设备线夹 SY1-J-400,套,个
Material,6111011,8070246,27.5kV单极GK支架,套,件
Material,6111015,8070351,55/27.5kV单极GK支架,套,件
Material,6111012,8070281,27.5kV三极GK支架,套,件
Material,6111014,8070316,55/27.5kV双极GK支架,套,件
Material,6111021,8070736,YH支架 JD-35,套,件
Material,6111055,8071121,电压（流）互感器支架 220kV,套,件
Material,6111056,8071156,电压（流）互感器支架 330kV,套,件
Material,4741035,8018247,电缆固定夹具 220kV,套,个
Material,4741036,8018681,电缆固定夹具 330kV,套,个
Material,6000038,8077246,设备线夹 SY1-J-300,套,个
Material,6111002,8070001,耦合电容器支架,套,件
Material,6111026,1308138,接地保护放电装置支架,套,件
Material,6000063,8077701,单软母线固定金具 MDG-4,套,个
Material,6000064,8077736,双软母线固定金具 MSG-4/120,套,个
Material,6111007,8070631,35(60)kV双支持绝缘子支架,套,件
Material,6177555,8075041,棒式绝缘子Ｖ形压板,套,块
Material,6200301,8079766,抽压装置,套,件
Material,5437763,8059433,隧道内吊柱斜撑 a型,套,根
Material,5437764,8059695,隧道内吊柱斜撑 b型,套,根
Material,5437765,8062737,隧道内吊柱斜撑底座,套,件
Material,5437528,8031996,棒式绝缘子 QBN3-25/16,套,个
Material,5437760,8068377,刚性悬挂方管吊柱 120×120 L-1400,套,根
Material,5700011,7044051,悬式绝缘子 XWP2-100,套,个
Material,1260133,1082601,重力式砂浆,m３,m3
Material,3613117,1068601,弹簧垫圈,个,kg
Material,3350213,1224913,聚氯乙烯硬管 D100,kg,m
Material,7411014,5046206,茶托钢板 5×30×190,副,块
Material,7412312,5046716,三眼双槽夹板,套,块
Material,7510117,5050876,光缆终端盒(含接续材料) 96芯,套,个
Material,7511010,5051126,电缆接头盒(含接续材料),套,个
Material,3394119,1034285,聚乙烯带,盘,卷
Material,7516018,5055626,充油膏接头套管 RSPTF-30/12-250,套,个
Material,7516019,5055751,充油膏接头套管 RSPTF-60/22-500,套,个
Material,7516020,5055876,充油膏接头套管 RSPTF-75/25-550,套,个
Material,7412310,5046546,地线夹板,套,块
Material,7813210,5077154,单根馈线固定卡子,套,副
Material,8711051,6058461,免维护地下电缆接续盒 HDM-T,套,个
Material,8711052,6058497,免维护地下电缆接续盒 HDM-T-P,套,个
Material,8711031,1309786,屏蔽连接用铜套管,套,根
Material,8711032,6054357,屏蔽连接用铜端头,套,个
Material,8800068,6091105,人孔(井)电缆托架,套,个
Material,8751014,6090369,U形镀锌扁钢抱箍,套,个
Material,8411059,6050901,扼流变压器等阻、冗余、防腐钢轨引线 (400A)二长二短,套,组
